SkiWeek,Average Snowfall,Snowfall Days,Average Base Depth,Max Base Depth,Biggest Snowfall,Resort
1,21,5,14,32,28,Perisher
2,21,5,14,32,28,Perisher
3,21,5,14,32,28,Perisher
4,21,5,14,32,28,Perisher
5,26,7,30,70,14,Perisher
6,26,7,30,70,14,Perisher
7,26,7,30,70,14,Perisher
8,26,7,30,70,14,Perisher
9,18,5,49,88,12,Perisher
10,18,5,49,88,12,Perisher
11,18,5,49,88,12,Perisher
12,18,5,49,88,12,Perisher
13,13,3,51,94,16,Perisher
14,13,3,51,94,16,Perisher
15,2,1,45,94,4,Perisher
1,12,4,13,48,20,Thredbo
2,12,4,13,48,20,Thredbo
3,12,4,13,48,20,Thredbo
4,12,4,13,48,20,Thredbo
5,27,6,23,66,28,Thredbo
6,27,6,23,66,28,Thredbo
7,27,6,23,66,28,Thredbo
8,27,6,23,66,28,Thredbo
9,29,6,40,88,24,Thredbo
10,29,6,40,88,24,Thredbo
11,29,6,40,88,24,Thredbo
12,29,6,40,88,24,Thredbo
13,11,3,45,94,28,Thredbo
14,11,3,45,94,28,Thredbo
15,0,0,32,52,0,Thredbo
1,14,4,14,41,16,Falls Creek
2,14,4,14,41,16,Falls Creek
3,14,4,14,41,16,Falls Creek
4,14,4,14,41,16,Falls Creek
5,22,6,29,63,15,Falls Creek
6,22,6,29,63,15,Falls Creek
7,22,6,29,63,15,Falls Creek
8,22,6,29,63,15,Falls Creek
9,17,5,41,85,19,Falls Creek
10,17,5,41,85,19,Falls Creek
11,17,5,41,85,19,Falls Creek
12,17,5,41,85,19,Falls Creek
13,6,3,35,85,9,Falls Creek
14,6,3,35,85,9,Falls Creek
15,3,1,26,59,6,Falls Creek
1,16,4,14,32,20,Mt. Hotham
2,16,4,14,32,20,Mt. Hotham
3,16,4,14,32,20,Mt. Hotham
4,16,4,14,32,20,Mt. Hotham
5,22,8,26,48,12,Mt. Hotham
6,22,8,26,48,12,Mt. Hotham
7,22,8,26,48,12,Mt. Hotham
8,22,8,26,48,12,Mt. Hotham
9,19,6,41,85,12,Mt. Hotham
10,19,6,41,85,12,Mt. Hotham
11,19,6,41,85,12,Mt. Hotham
12,19,6,41,85,12,Mt. Hotham
13,8,3,37,80,9,Mt. Hotham
14,8,3,37,80,9,Mt. Hotham
15,0,0,40,51,4,Mt. Hotham
1,11,3,11,25,13,Mt. Buller
2,11,3,11,25,13,Mt. Buller
3,11,3,11,25,13,Mt. Buller
4,11,3,11,25,13,Mt. Buller
5,17,6,19,43,11,Mt. Buller
6,17,6,19,43,11,Mt. Buller
7,17,6,19,43,11,Mt. Buller
8,17,6,19,43,11,Mt. Buller
9,16,5,27,61,17,Mt. Buller
10,16,5,27,61,17,Mt. Buller
11,16,5,27,61,17,Mt. Buller
12,16,5,27,61,17,Mt. Buller
13,7,3,24,75,11,Mt. Buller
14,7,3,24,75,11,Mt. Buller
15,6,1,15,36,6,Mt. Buller
1,5,3,8,20,10,Mt. Baw Baw
2,5,3,8,20,10,Mt. Baw Baw
3,5,3,8,20,10,Mt. Baw Baw
4,5,3,8,20,10,Mt. Baw Baw
5,9,4,11,26,9,Mt. Baw Baw
6,9,4,11,26,9,Mt. Baw Baw
7,9,4,11,26,9,Mt. Baw Baw
8,9,4,11,26,9,Mt. Baw Baw
9,10,3,13,39,9,Mt. Baw Baw
10,10,3,13,39,9,Mt. Baw Baw
11,10,3,13,39,9,Mt. Baw Baw
12,10,3,13,39,9,Mt. Baw Baw
13,8,2,15,35,14,Mt. Baw Baw
14,8,2,15,35,14,Mt. Baw Baw
15,0,0,22,35,0,Mt. Baw Baw
1,17,4,14,40,20,Charlotte Pass
2,17,4,14,40,20,Charlotte Pass
3,17,4,14,40,20,Charlotte Pass
4,17,4,14,40,20,Charlotte Pass
5,28,6,33,66,22,Charlotte Pass
6,28,6,33,66,22,Charlotte Pass
7,28,6,33,66,22,Charlotte Pass
8,28,6,33,66,22,Charlotte Pass
9,26,6,52,87,30,Charlotte Pass
10,26,6,52,87,30,Charlotte Pass
11,26,6,52,87,30,Charlotte Pass
12,26,6,52,87,30,Charlotte Pass
13,12,3,57,94,22,Charlotte Pass
14,12,3,57,94,22,Charlotte Pass
1,4,2,7,24,14,Selwyn
2,4,2,7,24,14,Selwyn
3,4,2,7,24,14,Selwyn
4,4,2,7,24,14,Selwyn
5,12,4,13,31,14,Selwyn
6,12,4,13,31,14,Selwyn
7,12,4,13,31,14,Selwyn
8,12,4,13,31,14,Selwyn
9,13,3,23,52,16,Selwyn
10,13,3,23,52,16,Selwyn
11,13,3,23,52,16,Selwyn
12,13,3,23,52,16,Selwyn
13,5,2,18,37,16,Selwyn
14,5,2,18,37,16,Selwyn
15,0,0,15,37,0,Selwyn
1,11,3,11,25,13,Mt. Stirling
2,11,3,11,25,13,Mt. Stirling
3,11,3,11,25,13,Mt. Stirling
4,11,3,11,25,13,Mt. Stirling
5,17,6,19,43,11,Mt. Stirling
6,17,6,19,43,11,Mt. Stirling
7,17,6,19,43,11,Mt. Stirling
8,17,6,19,43,11,Mt. Stirling
9,16,5,27,61,17,Mt. Stirling
10,16,5,27,61,17,Mt. Stirling
11,16,5,27,61,17,Mt. Stirling
12,16,5,27,61,17,Mt. Stirling
13,7,3,24,75,11,Mt. Stirling
14,7,3,24,75,11,Mt. Stirling
15,6,1,15,36,6,Mt. Stirling
